Qty,Manufacturer,Model,Description,Distributor, Price , Extended ,Link
1,BLACK+DECKER,TO1675B,6-Slice Convection Countertop Toaster Oven,Amazon, $ 42.41 , $ 42.41 ,https://www.amazon.com/gp/product/B0060VQFQ6/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1
1,"GHI Electronics, LLC",BBB01-SC-505,EAGLEBONE BLACK REV C,Digi-Key, $ 56.25 , $ 56.25 ,https://www.digikey.com/product-detail/en/ghi-electronics-llc/BBB01-SC-505/BBB01-SC-505-ND/6210999
10,Wire & Cable Your Way,SEO14s3,14/3 SEOOW Portable Cord 600V Ul/CSA,Wire & Cable Your Way, $ 0.65 , $ 6.50 ,https://www.wireandcableyourway.com/14-3-seoow-portable-cord-600v-ul-csa.html
10,Wire & Cable Your Way,SEO14s5,14/5 SEOOW Portable Cord 600V Ul/CSA,Wire & Cable Your Way, $ 0.92 , $ 9.20 ,https://www.wireandcableyourway.com/14-5-seoow-portable-cord-600v-ul-csa.html
1,Leviton,R51-05266-ACS,15 Amp 125-Volt Angle Plug,Home Depot, $ 11.49 , $ 11.49 ,http://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Angle-Plug-Black-and-White-R51-05266-ACS/300861765
2,Adafruit,269,Thermocouple Amplifier MAX31855 breakout board,Adafruit, $ 14.95 , $ 29.90 ,https://www.adafruit.com/product/269
2,"Digilent, Inc.",240-080,THERMOCOUPLE WIRE K-TYPE 1M,Digi-Key, $ 9.99 , $ 19.98 ,https://www.digikey.com/product-detail/en/digilent-inc/240-080/1286-1099-ND/5418219
3,Crydom Co.,D1225,RELAY SSR 25A 120VAC DC INPUT,Digi-Key, $ 41.48 , $ 124.44 ,https://www.digikey.com/product-detail/en/crydom-co/D1225/CC1002-ND/139465
3,Crydom Co.,KS101,COVER PROTECTIVE SSR CLEAR,Digi-Key, $ 3.98 , $ 11.94 ,https://www.digikey.com/product-detail/en/crydom-co/KS101/CC2136-ND/4303644
1,Soberton Inc.,GT-0903A,AUDIO MAGNETIC XDCR 2-4V TH,Digi-Key, $ 1.14 , $ 1.14 ,https://www.digikey.com/product-detail/en/soberton-inc/GT-0903A/433-1032-ND/1245334
1,Shin Chin,R13-502A-05-BR,Pushbutton Switches SPST OFF-(ON) RED,Mouser, $ 2.41 , $ 2.41 ,http://www.mouser.com/ProductDetail/Shin-Chin/R13-502A-05-BR/?qs=sGAEpiMZZMvxtGF7dlGNptiIg6womV%2fyUc5uVK9NB6k%3d
1,Shin Chin,R13-502A-05-BB,Pushbutton Switches SPST OFF-(ON) BLACK,Mouser, $ 2.41 , $ 2.41 ,http://www.mouser.com/ProductDetail/Shin-Chin/R13-502A-05-BB/?qs=sGAEpiMZZMvxtGF7dlGNptiIg6womV%2fy36v85XeSkjs%3d
1,Shin Chin,R13-502A-05-BG,Pushbutton Switches SPST OFF-(ON) GREEN,Mouser, $ 2.41 , $ 2.41 ,http://www.mouser.com/ProductDetail/Shin-Chin/R13-502A-05-BG/?qs=sGAEpiMZZMvxtGF7dlGNptiIg6womV%2fypariAJoIPmI%3d
,,,,,,,
,,,,,,,
Consumables,,,,,,,
,Techflex,FGLG.00BK,"SLEEVING 0.33"" X 100' BLACK",Digi-Key, $ 47.40 ,,https://www.digikey.com/product-detail/en/techflex/FGLG.00BK/1030-1132-ND/2502575
,Desco,47027,"TAPE KAPTON HI TEMP 36 YDS 1/2""",Digi-Key, $ 33.00 ,,https://www.digikey.com/product-detail/en/desco/47027/16-1296-ND/1141617
,Cerrowire,112-3401A,25 ft. 14-Gauge Black Stranded THHN Wire,Home Depot, $ 6.47 ,,http://www.homedepot.com/p/Cerrowire-25-ft-14-Gauge-Single-Conductor-Black-Stranded-THHN-Wire-112-3401A/202564770
,Cerrowire,112-3402A,25 ft. 14-Gauge White Stranded THHN Wire,Home Depot, $ 5.56 ,,http://www.homedepot.com/p/Cerrowire-25-ft-14-1-Stranded-White-THHN-Wire-112-3402A/202564774?keyword=112-3402A
,Cerrowire,112-3403A,25 ft. 14-Gauge Red Stranded THHN Wire,Home Depot, $ 6.47 ,,http://www.homedepot.com/p/Cerrowire-25-ft-14-Gauge-Red-Stranded-Wire-112-3403A/202564776?keyword=112-3403A
,Cerrowire,112-3405A,25 ft. 14-Gauge Green Stranded THHN Wire,Home Depot, $ 6.47 ,,http://www.homedepot.com/p/Cerrowire-25-ft-14-Gauge-Green-Stranded-THHN-Wire-112-3405A/202564778?keyword=112-3405A
,Gardner Bender,15-116,"12 - 10 AWG #8 - 10 Stud Size Spade Terminals, Yellow (15-Pack)",Home Depot, $ 1.98 ,,http://www.homedepot.com/p/Gardner-Bender-12-10-AWG-8-10-Stud-Size-Spade-Terminals-Yellow-15-Pack-15-116/202522898
,,,"1/8"" Heat Shrink",,,,
,,,Various Cable Ties,,,,
